Phyto	Hummingbird	Plant	Interaction
riparian_forest	E_macroura	J_monticola	2
riparian_forest	P_pretrei	J_monticola	2
riparian_forest	T_furcata	J_monticola	2
riparian_forest	E_macroura	J_monticola	4
riparian_forest	E_macroura	V_friburguensis	1
riparian_forest	C_serrirostris	V_friburguensis	4
rupestrian_field	E_macroura	P_robustus	2
riparian_forest	E_macroura	H_pedunculata	1
riparian_forest	E_macroura	J_monticola	5
riparian_forest	C_serrirostris	H_pedunculata	1
riparian_forest	P_pretrei	H_pedunculata	1
rupestrian_field	C_serrirostris	H_pedunculata	12
riparian_forest	E_macroura	P_robustus	1
riparian_forest	P_pretrei	J_monticola	2
riparian_forest	C_lucidus	J_monticola	1
rupestrian_field	T_furcata	P_robustus	1
riparian_forest	P_pretrei	J_monticola	2
rupestrian_field	E_macroura	P_robustus	1
rupestrian_field	P_pretrei	P_robustus	1
rupestrian_field	C_lucidus	G_pseudogaultheria	1
rupestrian_field	C_lucidus	G_pseudogaultheria	1
rupestrian_field	C_serrirostris	H_pedunculata	2
rupestrian_field	E_macroura	P_robustus	9
riparian_forest	C_serrirostris	H_pedunculata	1
riparian_forest	E_macroura	P_robustus	9
riparian_forest	C_lucidus	E_splendida	2
rupestrian_field	C_serrirostris	H_pedunculata	3
rupestrian_field	C_lucidus	G_pseudogaultheria	1
rupestrian_field	C_serrirostris	D_minarum	1
riparian_forest	A_lactea	G_brasiliensis	1
riparian_forest	A_lactea	V_friburguensis	1
rupestrian_field	C_serrirostris	H_pedunculata	3
rupestrian_field	E_macroura	P_robustus	9
rupestrian_field	E_macroura	P_robustus	12
rupestrian_field	E_macroura	P_robustus	1
rupestrian_field	C_lucidus	P_robustus	7
riparian_forest	C_lucidus	P_robustus	12
riparian_forest	P_pretrei	P_robustus	1
riparian_forest	A_fimbriata	P_robustus	4
riparian_forest	E_macroura	P_robustus	1
riparian_forest	P_pretrei	J_monticola	1
riparian_forest	C_lucidus	P_robustus	2
riparian_forest	P_pretrei	J_monticola	1
riparian_forest	P_pretrei	E_splendida	1
riparian_forest	C_lucidus	J_monticola	3
rupestrian_field	C_serrirostris	P_robustus	1
rupestrian_field	E_macroura	P_robustus	16
rupestrian_field	C_serrirostris	B_lymansmithii	3
rupestrian_field	C_amethystina	P_robustus	1
rupestrian_field	C_serrirostris	P_robustus	2
riparian_forest	E_macroura	P_robustus	5
riparian_forest	H_squamosus	P_robustus	1
riparian_forest	C_lucidus	P_robustus	1
riparian_forest	C_lucidus	P_robustus	8
riparian_forest	P_pretrei	J_monticola	1
rupestrian_field	C_serrirostris	H_pedunculata	3
riparian_forest	A_lactea	L_fruticosa	1
rupestrian_field	P_pretrei	H_pedunculata	1
rupestrian_field	A_lactea	G_pseudogaultheria	1
rupestrian_field	E_macroura	P_robustus	2
rupestrian_field	C_lucidus	P_robustus	2
rupestrian_field	C_serrirostris	G_pseudogaultheria	1
rupestrian_field	C_serrirostris	B_lymansmithii	1
rupestrian_field	T_furcata	P_robustus	1
rupestrian_field	C_serrirostris	D_minarum	1
rupestrian_field	A_lactea	D_minarum	1
rupestrian_field	C_serrirostris	G_reticulata	2
rupestrian_field	C_serrirostris	H_pedunculata	1
rupestrian_field	C_serrirostris	B_lymansmithii	15
rupestrian_field	C_serrirostris	Lychnophora_sp	2
riparian_forest	P_pretrei	H_pedunculata	2
riparian_forest	C_serrirostris	H_pedunculata	4
riparian_forest	C_lucidus	H_pedunculata	1
riparian_forest	C_serrirostris	G_brasiliensis	1
riparian_forest	C_lucidus	G_brasiliensis	1
riparian_forest	C_serrirostris	L_fruticosa	5
rupestrian_field	C_serrirostris	H_pedunculata	4
riparian_forest	C_serrirostris	S_erecta	2
riparian_forest	H_squamosus	Asteraceae_sp.	2
rupestrian_field	C_serrirostris	Lychnophora_sp	2
rupestrian_field	C_serrirostris	B_lymansmithii	2
rupestrian_field	C_serrirostris	H_pedunculata	1
rupestrian_field	C_serrirostris	D_minarum	3
rupestrian_field	C_serrirostris	G_pseudogaultheria	3
rupestrian_field	C_serrirostris	B_lymansmithii	9
rupestrian_field	C_serrirostris	Eremanthus_sp	1
rupestrian_field	C_serrirostris	H_reticulata	2
riparian_forest	C_serrirostris	E_splendida	3
riparian_forest	C_serrirostris	S_erecta	1
riparian_forest	C_lucidus	S_erecta	1
riparian_forest	P_pretrei	P_venusta	1
riparian_forest	T_furcata	A_bromeliifolia	1
riparian_forest	C_lucidus	A_bromeliifolia	2
riparian_forest	C_serrirostris	H_pedunculata	1
rupestrian_field	C_serrirostris	Eremanthus_sp	2
riparian_forest	C_serrirostris	L_fruticosa	1
riparian_forest	C_lucidus	G_brasiliensis	2
riparian_forest	C_serrirostris	G_brasiliensis	1
riparian_forest	C_lucidus	G_brasiliensis	2
rupestrian_field	C_serrirostris	H_pedunculata	9
riparian_forest	C_lucidus	G_brasiliensis	5
riparian_forest	T_furcata	A_bromeliifolia	2
riparian_forest	A_nigricollis	A_bromeliifolia	1
riparian_forest	C_serrirostris	H_pedunculata	1
riparian_forest	C_serrirostris	H_pedunculata	11
riparian_forest	T_furcata	J_monticola	6
riparian_forest	P_pretrei	J_monticola	2
riparian_forest	E_macroura	J_monticola	1
riparian_forest	P_pretrei	P_venusta	2
riparian_forest	C_lucidus	S_erecta	1
rupestrian_field	C_serrirostris	D_minarum	1
rupestrian_field	C_serrirostris	G_pseudogaultheria	1
rupestrian_field	C_amethystina	Lychnophora_sp	2
rupestrian_field	C_amethystina	Lychnophora_sp	1
rupestrian_field	C_serrirostris	H_pedunculata	1
riparian_forest	A_nigricollis	A_bromeliifolia	1
riparian_forest	P_pretrei	P_venusta	3
rupestrian_field	C_lucidus	Lessingianthus_sp.	3
riparian_forest	C_serrirostris	H_pedunculata	1
rupestrian_field	C_lucidus	G_pseudogaultheria	1
rupestrian_field	C_serrirostris	Lessingianthus_sp.	2
rupestrian_field	C_serrirostris	H_pedunculata	6
rupestrian_field	E_macroura	H_pedunculata	2
rupestrian_field	E_macroura	W_mirabilis	1
riparian_forest	P_pretrei	J_monticola	3
riparian_forest	T_furcata	J_monticola	4
rupestrian_field	C_serrirostris	H_pedunculata	4
rupestrian_field	E_macroura	W_mirabilis	1
rupestrian_field	C_serrirostris	W_mirabilis	2
rupestrian_field	C_serrirostris	G_reticulata	1
riparian_forest	P_pretrei	J_monticola	3
riparian_forest	T_furcata	J_monticola	4
riparian_forest	T_furcata	H_pedunculata	1
riparian_forest	T_furcata	J_monticola	2
riparian_forest	C_lucidus	S_sellowiana	1
riparian_forest	C_lucidus	J_monticola	8
rupestrian_field	C_serrirostris	H_pedunculata	1
riparian_forest	E_macroura	J_monticola	3
riparian_forest	T_furcata	J_monticola	1
rupestrian_field	C_serrirostris	G_pseudogaultheria	1
rupestrian_field	C_lucidus	G_pseudogaultheria	2
rupestrian_field	C_serrirostris	D_minarum	1
riparian_forest	C_serrirostris	G_brasiliensis	25
riparian_forest	E_macroura	J_monticola	8
riparian_forest	C_lucidus	J_monticola	2
riparian_forest	P_pretrei	J_monticola	1
riparian_forest	C_lucidus	J_monticola	1
riparian_forest	C_lucidus	S_sellowiana	1
riparian_forest	C_lucidus	Q_cordata	8
riparian_forest	C_serrirostris	Q_cordata	106
riparian_forest	C_lucidus	Q_cordata	2
riparian_forest	E_macroura	Q_cordata	7
rupestrian_field	C_serrirostris	G_pseudogaultheria	1
rupestrian_field	C_serrirostris	G_pseudogaultheria	12
rupestrian_field	C_serrirostris	H_pedunculata	2
rupestrian_field	C_serrirostris	D_minarum	6
rupestrian_field	C_serrirostris	G_pseudogaultheria	1
rupestrian_field	C_serrirostris	G_pseudogaultheria	17
rupestrian_field	C_serrirostris	H_cipoanum	1
riparian_forest	E_macroura	Q_cordata	3
riparian_forest	C_serrirostris	Q_cordata	38
riparian_forest	C_lucidus	Q_cordata	17
riparian_forest	A_lactea	Q_cordata	5
